mass_A
t,x,y
1.310312500E2,1.087033082E-1,1.600998853E-1
1.310354167E2,1.090443651E-1,1.601051994E-1
1.310395833E2,1.098437073E-1,1.598902278E-1
1.310437500E2,1.098437073E-1,1.598902278E-1
1.310479167E2,1.104103641E-1,1.600127704E-1
1.310520833E2,1.108651066E-1,1.600198559E-1
1.310562500E2,1.117657347E-1,1.606024551E-1
1.310604167E2,1.124496199E-1,1.604993978E-1
1.310645833E2,1.125633055E-1,1.605011692E-1
1.310687500E2,1.129079052E-1,1.602791121E-1
1.310729167E2,1.134781048E-1,1.601742833E-1
1.310770833E2,1.142739042E-1,1.601866830E-1
1.310812500E2,1.153006176E-1,1.599752542E-1
1.310854167E2,1.165529310E-1,1.598810538E-1
1.310937500E2,1.168939879E-1,1.598863679E-1
1.310979167E2,1.186028151E-1,1.596855674E-1
1.311020833E2,1.196259858E-1,1.597015098E-1
1.311062500E2,1.206509279E-1,1.596037667E-1
1.311104167E2,1.211092132E-1,1.593834809E-1
1.311145833E2,1.217913270E-1,1.593941092E-1
1.311187500E2,1.221341553E-1,1.592857377E-1
1.311229167E2,1.235019256E-1,1.590796231E-1
1.311270833E2,1.244114107E-1,1.590937941E-1
1.311312500E2,1.248679246E-1,1.589871940E-1
1.311354167E2,1.264630662E-1,1.587846221E-1
1.311395833E2,1.289747784E-1,1.581414787E-1
1.311437500E2,1.302270918E-1,1.580472783E-1
1.311479167E2,1.305681487E-1,1.580525924E-1
1.311520833E2,1.319376904E-1,1.577327921E-1
1.311562500E2,1.326233470E-1,1.575160492E-1
1.311604167E2,1.336482890E-1,1.574183060E-1
1.311645833E2,1.351315164E-1,1.571002770E-1
1.311687500E2,1.363856011E-1,1.568923910E-1
1.311729167E2,1.382116568E-1,1.564659906E-1
1.311770833E2,1.399222554E-1,1.561515044E-1
1.311812500E2,1.411727974E-1,1.561709896E-1
1.311854167E2,1.425423391E-1,1.558511893E-1
1.311895833E2,1.442564805E-1,1.553093319E-1
1.311937500E2,1.460860789E-1,1.546555602E-1
1.311979167E2,1.471163352E-1,1.542167601E-1
1.312020833E2,1.497470472E-1,1.532343312E-1
1.312062500E2,1.518040168E-1,1.525841023E-1
1.312104167E2,1.529461873E-1,1.522607593E-1
1.312145833E2,1.555751279E-1,1.513920160E-1
1.312187500E2,1.574011836E-1,1.509656156E-1
1.312229167E2,1.590016393E-1,1.504219868E-1
1.312270833E2,1.616937533E-1,1.505006981E-1
